store,num_ratings,num_reviews,star_rating,negative,neutral,positive,sentiment_star_rating
Herzo Store,8776,2201,4.2,446,149,1605,4.051794638800545
Herzo Outlet,2365,1091,4.2,230,68,785,3.9954170485792853
Nuremberg Store,763,288,4.3,40,16,231,4.315972222222222
Munich Outlet,450,210,4.3,20,17,172,4.433333333333334
Munich Terrex Store,102,68,4.7,7,1,60,4.5588235294117645
Frankfurt Store,786,324,4.1,58,24,240,4.104938271604938
Berlin Store Originals,1293,681,4.1,120,51,506,4.116005873715125
Competitor Outlet,6533,2008,4.4,234,102,1661,4.40488047808765
